,2015,2016,2017,2018
0,603.0304974946081,431.69423512242963,501.0059680750396,475.3327063957907
1,710.9007055919474,405.32467409428676,533.8050997921084,521.4758750443542
2,737.6976363508456,420.9854036798957,547.8472872892434,498.1502593961115
3,730.9793728651647,580.3515542309544,537.046634002484,495.94320768794455
4,759.8164354656237,488.2153449831254,546.8723237365202,494.0876484464723
5,705.744078864728,509.4824481403467,561.2867077182507,544.17149284215
6,642.4389623904206,582.8015716539685,568.473857707815,574.8737348848017
7,540.337076767756,509.6962569662,511.31516212089076,497.71644318526114
8,543.5515958312235,396.90895393817516,453.6366085849243,468.6822547339144
9,551.1514843491846,471.4729757614768,491.0084189422211,457.14406606916896
10,512.0928373808861,431.69390844145346,422.4517575296966,374.1272832789472
11,507.95965802605735,435.2764363973859,355.93416190783927,328.68497563980463
12,459.9981541173824,425.75710513585983,450.0125363204622,354.19481860597
13,547.7012063850294,452.04745974658545,362.04467497867705,385.9222260518762
14,600.7005750421147,503.651476232456,519.1349904753316,501.38785255487363
15,572.7485225540404,430.9038521764011,528.956840859522,536.573143841947
16,516.4547996255217,451.52098543533424,492.5978756834214,528.0999120913501
17,450.6192044946819,479.73765915114006,436.9240441155969,472.1582769388399
18,412.06519566307344,403.0519075166196,345.1407633352201,345.1313502743505
19,466.7497403484637,432.4873033961655,412.4337640424355,424.5324672140227
20,500.28391651691373,536.965158370649,480.06282960689714,536.4045023415676
21,552.2222317357648,557.2739935469104,538.243670882182,526.60366838794
22,573.2162841142645,530.0032719162014,578.6861088364684,562.5552007495521
23,564.6094578334828,431.24554975587955,498.50024707569645,493.85366297624694
