,net_footprint_H,credit_H,red_H,net_footprint_Y,credit_Y,red_Y
Grid,1.87716359023,0.0,0.236637336549,1.87716359023,0.0,0.236638262502
solar100,0.843584865253,1.03357872497,0.656949882824,-0.471039135836,2.34820272606,1.19155136773
wind100,-0.867685844851,2.74484943508,1.35285096143,-0.768879135836,2.64604272606,1.31267009232
sw5050,-0.0120504897993,1.88921408003,1.00490042212,-0.619959135836,2.49712272606,1.25211073003
