,2015,2016,2017,2018,2025
0,333.2162517204248,302.4728045310714,276.67285135227854,288.6946609647669,296.1750368814208
1,328.4336278636835,298.0820380501779,270.94049068570877,284.46337925953935,291.4876391231928
2,326.2173315189282,295.09919946063866,267.0565187940548,287.16504639981764,288.29715568921324
3,326.40584251833104,294.6607110595371,265.65029074469373,282.6642519733357,287.74469251971254
4,328.25177821109907,295.8563000645132,267.03019065251976,283.6532823507902,288.9558567373645
5,331.41180075951127,298.4388159762385,271.46858892206495,288.18625923259424,291.74553156669947
6,333.7939525932941,300.3745200920258,274.2682266369825,289.48034650311104,286.576857311294
7,327.8070502962551,290.8583166552097,261.12416190943446,271.6828596533996,241.39740807318964
8,311.05244189642536,268.9620735667193,233.85039337784366,238.18089918648275,161.8196995483369
9,295.1159725085839,250.153168361762,210.39536046727466,210.18158624433124,101.94073064584897
10,287.18741060088416,241.00756035520232,199.74873636247156,196.78915347081477,77.21036151241833
11,285.1764114242981,238.4865646473012,196.71517597620567,191.98918393199054,70.38822117477434
12,284.3141103811348,238.2492430826286,196.98575142607334,191.1622755616305,69.84956205605127
13,284.6649105003144,239.18357686243755,199.0584448210401,193.30900230777092,72.78262707856385
14,286.0793691550252,241.57028673009427,203.03525703083832,197.8687413823967,79.9934412761231
15,290.4797736565494,247.24748079427098,211.9350788760764,207.54431748771313,96.06231119443143
16,300.1778722870494,260.63019825996446,229.32054425000496,228.2300715006016,136.69647114921335
17,317.18072247261506,282.76422349909825,257.71834916195326,260.23522094170113,209.245439661466
18,331.3876487859889,301.9709486881609,285.68148376317197,289.9117173429829,272.29102744721547
19,338.09815547653466,312.13792011597604,299.70688370712315,305.34177384240263,304.59700705452786
20,339.42642041027875,313.38684348530154,300.6177323449698,307.3704203962363,308.4943473177696
21,339.9178616135751,312.1081312431464,296.8417680140095,305.273311638694,307.0197512344204
22,338.59969050540695,308.96349918313575,290.0813477284438,301.6859743842815,303.51241163171676
23,334.4845677305672,304.51855792671245,282.22923872007925,294.9099987046306,298.62161688946026
