,2015,2016,2017,2018,2025
0,423.16149472884314,383.5427119549949,413.36953120717527,392.9720976715062,383.542711954995
1,422.2063360673259,387.3782810056925,433.9752833447204,414.2588360392705,387.57163591062107
2,431.468438812309,442.2287993403408,454.12624521891865,450.50093070796356,442.228799340341
3,434.25926424607167,427.5256455677153,401.3816962263247,470.6721480903671,427.5256455677157
4,426.92132031768784,369.3845032362921,365.9277299480458,435.23753090881104,369.1019957986305
5,404.80251239342306,359.8040082689886,369.40435100132424,382.9526460140613,359.81829273234877
6,411.02900680419555,382.2828072878664,380.0533036749081,388.9878146298417,418.7296224334944
7,412.5978782517993,365.6290533770797,366.609539009621,387.94481072115855,369.6011465443132
8,403.8747909202464,393.61385163984517,378.3849199709372,398.04673505410966,257.2326792297391
9,390.87369094607055,378.15296906962783,379.32879975736165,400.5947461737358,140.66232498157143
10,408.6398227009731,384.68416954273357,375.8285773562097,405.249762283206,104.49447638884442
11,410.8317501473127,386.3235978102451,381.1765945873114,423.78544998468004,92.67448353580042
12,384.49855021781775,384.13585933885463,406.8250119432045,410.09288859947367,96.28863038915406
13,373.7226417845709,381.40338801564246,414.36916246643995,412.6564998546565,104.16623021319434
14,374.0431121150901,372.0871069116056,404.77034028439664,408.6391455834919,118.31013536252125
15,385.4914700297215,377.9365143027105,406.38937689541285,413.3337755824223,158.09517838736443
16,413.12674480573725,401.8274667433717,393.0932511865098,436.39608067249554,259.2358720186332
17,420.52439484707577,400.6748883042846,389.5095116297924,403.2283161651203,368.6295912373832
18,378.6921594449387,388.1530118479161,378.059486454136,395.87536528329963,455.4601004344313
19,355.7906655737744,370.3066277590714,399.8603887880295,392.8109282308608,438.77628446027467
20,351.7514482831692,385.1511213643207,420.6918968300639,392.6037659800149,421.4787003777732
21,358.56765802306666,374.70001588326073,426.43488587685925,413.2982695763171,374.70001588326073
22,363.747474092965,362.4472344888549,436.6480170532508,411.193310723032,362.44723448885503
23,398.9461673886815,377.1595422835897,436.79493737461695,419.26367225620805,377.1595422835897
